card_id	issuer_id	cobrand_partner	display_name	tier	network	lifecycle_status	mapping_status	annual_fee_mxn	annual_fee_includes_iva	annual_fee_first_year_waived	interest_rate_annual_pct	cat_promedio_pct	base_reward_type	base_reward_rate	point_value_mxn	effective_rate_pct	min_income_mxn_monthly	invitation_only	notes	conf_identity	conf_cost	conf_rewards	conf_perks	conf_eligibility
banorte__por_ti	banorte		Tarjeta de Crédito Banorte Por Ti	clásica / cashback	visa	active	mapped	UNKNOWN	FALSE	TRUE	96.2	96.2	cashback	1.0	1.0	1.0	7000	FALSE	1% base + 1% preferred categories; MSI diferir 23% fija	high	low	low	high	medium
banorte__marriott_bonvoy	banorte		Tarjeta de Crédito Marriott Bonvoy	UNKNOWN	UNKNOWN	active	skeleton																	
banorte__marriott_bonvoy_inspire	banorte		Tarjeta de Crédito Marriott Bonvoy Inspire	UNKNOWN	UNKNOWN	active	skeleton																	
banorte__mujer	banorte		Tarjeta de Crédito Mujer Banorte	UNKNOWN	UNKNOWN	active	skeleton																	
banorte__seleccion_nacional	banorte		Tarjeta de Crédito Selección Nacional	UNKNOWN	UNKNOWN	active	skeleton																	
banorte__united	banorte		Tarjeta de Crédito United	UNKNOWN	UNKNOWN	active	skeleton																	
banorte__united_universe	banorte		Tarjeta de Crédito United Universe	UNKNOWN	UNKNOWN	active	skeleton																	
banregio__acceso_gold	banregio		Tarjeta de Crédito Acceso Gold	UNKNOWN	UNKNOWN	active	skeleton																	
banregio__basica	banregio		Tarjeta de Crédito Banregio Básica	UNKNOWN	UNKNOWN	active	skeleton																	
banregio__mas	banregio		Tarjeta de Crédito Banregio MÁS	UNKNOWN	UNKNOWN	active	skeleton																	
banregio__platinum	banregio		Tarjeta de Crédito Banregio Platinum	UNKNOWN	UNKNOWN	active	skeleton																	
banregio__win	banregio		Tarjeta de Crédito Win Banregio	UNKNOWN	UNKNOWN	active	skeleton																	
bbva_mexico__mi_primera_tarjeta_bbva	bbva_mexico		Mi Primera Tarjeta BBVA	UNKNOWN	UNKNOWN	active	skeleton																	
bbva_mexico__afinidad_unam_bbva	bbva_mexico		Tarjeta Afinidad UNAM BBVA	UNKNOWN	UNKNOWN	active	skeleton																	
bbva_mexico__azul_bbva	bbva_mexico		Tarjeta Azul BBVA	clásica	visa	active	mapped	748	FALSE	TRUE	60.53	90.9	points	9.0	UNKNOWN	UNKNOWN	UNKNOWN	FALSE	'9% en Puntos BBVA' is points accrual not cashback; point value low	high	medium	low	high	high
bbva_mexico__crea_bbva	bbva_mexico		Tarjeta Crea BBVA	UNKNOWN	UNKNOWN	active	skeleton																	
bbva_mexico__educacion_bbva	bbva_mexico		Tarjeta Educación BBVA	UNKNOWN	UNKNOWN	active	skeleton																	
bbva_mexico__ipn_bbva	bbva_mexico		Tarjeta IPN BBVA	UNKNOWN	UNKNOWN	active	skeleton																	
bbva_mexico__oro_bbva	bbva_mexico		Tarjeta Oro BBVA	oro	visa	active	mapped	748	FALSE	UNKNOWN	44.99	60.5	points	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	FALSE	CAT from older PDF; verify current	medium	low	low	medium	medium
bbva_mexico__platinum_bbva	bbva_mexico		Tarjeta Platinum BBVA	UNKNOWN	UNKNOWN	active	skeleton																	
bbva_mexico__start_bbva	bbva_mexico		Tarjeta Start BBVA	UNKNOWN	UNKNOWN	active	skeleton																	
bbva_mexico__vive_bbva	bbva_mexico		Tarjeta Vive BBVA	UNKNOWN	UNKNOWN	active	skeleton																	
cibanco__clasica_platinum	cibanco		Tarjeta CIBanco Clásica / Platinum	UNKNOWN	UNKNOWN	active	skeleton																	
cibanco__oro	cibanco		Tarjeta CIBanco Oro	UNKNOWN	UNKNOWN	active	skeleton																	
citibanamex__beyond_banamex	citibanamex		Tarjeta de Crédito Beyond Banamex	UNKNOWN	UNKNOWN	active	skeleton																	
citibanamex__clasica_banamex	citibanamex		Tarjeta de Crédito Clásica Banamex	clásica	visa_mastercard	active	mapped	UNKNOWN	FALSE	UNKNOWN	UNKNOWN	81.3	points	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	FALSE	Official annual fee rendered dynamically; not captured	high	medium	medium	high	high
citibanamex__conquista_banamex	citibanamex		Tarjeta de Crédito Conquista Banamex	UNKNOWN	UNKNOWN	active	skeleton																	
citibanamex__descubre_banamex	citibanamex		Tarjeta de Crédito Descubre Banamex	UNKNOWN	UNKNOWN	active	skeleton																	
citibanamex__explora_banamex	citibanamex		Tarjeta de Crédito Explora Banamex	UNKNOWN	UNKNOWN	active	skeleton																	
citibanamex__joy_banamex	citibanamex		Tarjeta de Crédito Joy Banamex	UNKNOWN	UNKNOWN	active	skeleton																	
citibanamex__oro_banamex	citibanamex		Tarjeta de Crédito Oro Banamex	oro	mastercard	active	mapped	UNKNOWN	FALSE	UNKNOWN	62.39	70.1	points	7.0	UNKNOWN	UNKNOWN	12000	FALSE	7% Premia base; double points on gas; fee dynamic	high	medium	medium	high	high
citibanamex__platinum_banamex	citibanamex		Tarjeta de Crédito Platinum Banamex	UNKNOWN	UNKNOWN	active	skeleton																	
hsbc_mexico__hsbc_2now	hsbc_mexico		Tarjeta de Crédito HSBC 2Now	cashback digital	visa_mastercard	active	mapped	UNKNOWN	FALSE	UNKNOWN	UNKNOWN	UNKNOWN	cashback	2.0	1.0	2.0	UNKNOWN	FALSE	2% cashback digital compras per issuer	high	medium	low	high	high
hsbc_mexico__hsbc_advance_platinum	hsbc_mexico		Tarjeta de Crédito HSBC Advance Platinum	UNKNOWN	UNKNOWN	active	skeleton																	
hsbc_mexico__hsbc_air	hsbc_mexico		Tarjeta de Crédito HSBC AIR	UNKNOWN	UNKNOWN	active	skeleton																	
hsbc_mexico__hsbc_basica	hsbc_mexico		Tarjeta de Crédito HSBC Básica	UNKNOWN	UNKNOWN	active	skeleton																	
hsbc_mexico__hsbc_clasica	hsbc_mexico		Tarjeta de Crédito HSBC Clásica	UNKNOWN	UNKNOWN	active	skeleton																	
hsbc_mexico__hsbc_easy_points	hsbc_mexico		Tarjeta de Crédito HSBC Easy Points	UNKNOWN	UNKNOWN	active	skeleton																	
hsbc_mexico__hsbc_oro	hsbc_mexico		Tarjeta de Crédito HSBC Oro	UNKNOWN	UNKNOWN	active	skeleton																	
hsbc_mexico__hsbc_platinum	hsbc_mexico		Tarjeta de Crédito HSBC Platinum	UNKNOWN	UNKNOWN	active	skeleton																	
hsbc_mexico__hsbc_premier	hsbc_mexico		Tarjeta de Crédito HSBC Premier	UNKNOWN	UNKNOWN	active	skeleton																	
hsbc_mexico__hsbc_titanium	hsbc_mexico		Tarjeta de Crédito HSBC Titanium	UNKNOWN	UNKNOWN	active	skeleton																	
hsbc_mexico__hsbc_viva	hsbc_mexico		Tarjeta de Crédito HSBC Viva	cashback	visa_mastercard	active	mapped	0	UNKNOWN	UNKNOWN	44.9	99.0	cashback	1.0	1.0	1.0	5000	FALSE	1% cashback on all purchases	high	medium	low	high	high
hsbc_mexico__hsbc_viva_plus	hsbc_mexico		Tarjeta de Crédito HSBC Viva Plus	UNKNOWN	UNKNOWN	active	skeleton																	
hsbc_mexico__hsbc_world_elite	hsbc_mexico		Tarjeta de Crédito HSBC World Elite	UNKNOWN	UNKNOWN	active	skeleton																	
hsbc_mexico__hsbc_zero	hsbc_mexico		Tarjeta de Crédito HSBC Zero	sin anualidad	visa_mastercard	active	mapped	0	UNKNOWN	UNKNOWN	49.04	95.5	none	UNKNOWN	NOT_APPLICABLE	0	5000	FALSE	No rewards; entry card	high	medium	low	high	high
invex__voyage	invex		INVEX Voyage	UNKNOWN	UNKNOWN	active	skeleton																	
invex__voyage_platinum	invex		INVEX Voyage Platinum	UNKNOWN	UNKNOWN	active	skeleton																	
invex__sicard_basica	invex		SíCard Básica INVEX	UNKNOWN	UNKNOWN	active	skeleton																	
invex__sicard_platinum	invex		SíCard Platinum INVEX	UNKNOWN	UNKNOWN	active	skeleton																	
invex__sicard_plus	invex		SíCard Plus INVEX	UNKNOWN	UNKNOWN	active	skeleton																	
multiva__clasica	multiva		Tarjeta de Crédito MULTIVA Clásica	UNKNOWN	UNKNOWN	active	skeleton																	
multiva__oro	multiva		Tarjeta de Crédito MULTIVA Oro	UNKNOWN	UNKNOWN	active	skeleton																	
multiva__platinum	multiva		Tarjeta de Crédito MULTIVA Platinum	UNKNOWN	UNKNOWN	active	skeleton																	
santander_mexico__likeu	santander_mexico		Tarjeta de Crédito LikeU	sin anualidad / cashback	visa_mastercard	active	mapped	0	UNKNOWN	UNKNOWN	66.35	90.6	cashback	1.0	1.0	1.0	7500	FALSE	Base 1% super; higher cashback by category (see CardRewards)	high	low	low	high	medium
santander_mexico__santander_american_express	santander_mexico		Tarjeta de Crédito Santander American Express	UNKNOWN	UNKNOWN	active	skeleton																	
santander_mexico__santander_basica	santander_mexico		Tarjeta de Crédito Santander Básica	UNKNOWN	UNKNOWN	active	skeleton																	
santander_mexico__santander_free	santander_mexico		Tarjeta de Crédito Santander Free	UNKNOWN	UNKNOWN	active	skeleton																	
santander_mexico__unique_rewards_gold	santander_mexico		Tarjeta de Crédito Unique Rewards Gold	UNKNOWN	UNKNOWN	active	skeleton																	
santander_mexico__unique_rewards_platinum	santander_mexico		Tarjeta de Crédito Unique Rewards Platinum	UNKNOWN	UNKNOWN	active	skeleton																	
santander_mexico__world_elite	santander_mexico		Tarjeta de Crédito World Elite	UNKNOWN	UNKNOWN	active	skeleton																	
scotiabank_mexico__ideal_scotiabank	scotiabank_mexico		IDEAL Scotiabank	sin anualidad	visa	active	mapped	0	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	none	UNKNOWN	NOT_APPLICABLE	0	7500	FALSE	No annual fee entry card	high	medium	medium	high	high
scotiabank_mexico__infinite_scotia_wealth_management	scotiabank_mexico		Infinite Scotia Wealth Management	UNKNOWN	UNKNOWN	active	skeleton																	
scotiabank_mexico__scotia_travel_clasica	scotiabank_mexico		Scotia Travel Clásica	UNKNOWN	UNKNOWN	active	skeleton																	
scotiabank_mexico__scotia_travel_oro	scotiabank_mexico		Scotia Travel Oro	UNKNOWN	UNKNOWN	active	skeleton																	
scotiabank_mexico__scotia_travel_platinum	scotiabank_mexico		Scotia Travel Platinum	platinum / viajes	visa	active	mapped	2600	FALSE	UNKNOWN	UNKNOWN	UNKNOWN	points	UNKNOWN	UNKNOWN	UNKNOWN	15000	FALSE	Annual fee from aggregator; verify. Lounge access	high	medium	medium	high	high
scotiabank_mexico__singular_by_scotiabank_infinite	scotiabank_mexico		Singular by Scotiabank Infinite	UNKNOWN	UNKNOWN	active	skeleton																	
scotiabank_mexico__singular_by_scotiabank_signature	scotiabank_mexico		Singular by Scotiabank Signature	UNKNOWN	UNKNOWN	active	skeleton																	
scotiabank_mexico__singular_by_scotiabank_world_elite	scotiabank_mexico		Singular by Scotiabank World Elite	world elite / premium	visa	active	mapped	UNKNOWN	FALSE	UNKNOWN	UNKNOWN	UNKNOWN	points	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	FALSE	Row added to resolve orphan key referenced in CardPerks; only the Elite Valet perk was captured from the official page. Fee, rate and eligibility NOT yet sourced - do not import as confirmed	high	medium	medium	high	high
scotiabank_mexico__tasa_baja_clasica	scotiabank_mexico		Tarjeta Tasa Baja Clásica	UNKNOWN	UNKNOWN	active	skeleton																	
scotiabank_mexico__tasa_baja_oro	scotiabank_mexico		Tarjeta Tasa Baja Oro	UNKNOWN	UNKNOWN	active	skeleton																	
banco_inbursa__aeromexico_ascend	banco_inbursa	aeromexico	Aeroméxico Ascend	UNKNOWN	UNKNOWN	active	skeleton												Co-brand split from legacy issuer string 'Banco Inbursa (Aeroméxico)'.					
banco_inbursa__aeromexico_elevate	banco_inbursa	aeromexico	Aeroméxico Elevate	UNKNOWN	UNKNOWN	active	skeleton												Co-brand split from legacy issuer string 'Banco Inbursa (Aeroméxico)'.					
banco_inbursa__aeromexico_horizon	banco_inbursa	aeromexico	Aeroméxico Horizon	UNKNOWN	UNKNOWN	active	skeleton												Co-brand split from legacy issuer string 'Banco Inbursa (Aeroméxico)'.					
invex__volaris	invex	volaris	Volaris INVEX	UNKNOWN	UNKNOWN	active	skeleton												Co-brand split from legacy issuer string 'Invex (Volaris)'.					
invex__volaris_0	invex	volaris	Volaris INVEX 0	UNKNOWN	UNKNOWN	active	skeleton												Co-brand split from legacy issuer string 'Invex (Volaris)'.					
invex__volaris_2_0	invex	volaris	Volaris INVEX 2.0	UNKNOWN	UNKNOWN	active	skeleton												Co-brand split from legacy issuer string 'Invex (Volaris)'.					
santander_mexico__aeromexico_blanca	santander_mexico	aeromexico	Tarjeta de Crédito Aeroméxico Blanca	UNKNOWN	UNKNOWN	active	skeleton												Co-brand split from legacy issuer string 'Santander México (Aeroméxico)'.					
santander_mexico__aeromexico_infinite	santander_mexico	aeromexico	Tarjeta de Crédito Aeroméxico Infinite	UNKNOWN	UNKNOWN	active	skeleton												Co-brand split from legacy issuer string 'Santander México (Aeroméxico)'.					
santander_mexico__aeromexico_platinum	santander_mexico	aeromexico	Tarjeta de Crédito Aeroméxico Platinum	UNKNOWN	UNKNOWN	active	skeleton												Co-brand split from legacy issuer string 'Santander México (Aeroméxico)'.					
invex__despegar_gold	invex	despegar	Despegar INVEX Gold	UNKNOWN	UNKNOWN	active	skeleton												Co-brand split from legacy issuer string 'Invex (Despegar)'.					
invex__despegar_platinum	invex	despegar	Despegar INVEX Platinum	UNKNOWN	UNKNOWN	active	skeleton												Co-brand split from legacy issuer string 'Invex (Despegar)'.					
invex__hilton_honors	invex	hilton	Hilton Honors INVEX	UNKNOWN	UNKNOWN	active	skeleton												Co-brand split from legacy issuer string 'Invex (Hilton)'.					
invex__hilton_honors_premium	invex	hilton	Hilton Honors INVEX Premium	UNKNOWN	UNKNOWN	active	skeleton												Co-brand split from legacy issuer string 'Invex (Hilton)'.					
santander_mexico__fiesta_rewards_oro	santander_mexico	fiesta_rewards	Tarjeta de Crédito Fiesta Rewards Oro	UNKNOWN	UNKNOWN	active	skeleton												Co-brand split from legacy issuer string 'Santander México (Fiesta Rewards)'.					
santander_mexico__fiesta_rewards_platino	santander_mexico	fiesta_rewards	Tarjeta de Crédito Fiesta Rewards Platino	UNKNOWN	UNKNOWN	active	skeleton												Co-brand split from legacy issuer string 'Santander México (Fiesta Rewards)'.					
afirme__cemex	afirme	cemex	Tarjeta de Crédito Afirme Cemex	UNKNOWN	UNKNOWN	active	skeleton												Co-brand split from legacy issuer string 'Afirme (Cemex)'.					
afirme__construrama	afirme	construrama	Tarjeta de Crédito Afirme Construrama	UNKNOWN	UNKNOWN	active	skeleton												Co-brand split from legacy issuer string 'Afirme (Construrama)'.					
afirme__heb	afirme	heb	Tarjeta de Crédito Afirme HEB	UNKNOWN	UNKNOWN	active	skeleton												Co-brand split from legacy issuer string 'Afirme (HEB)'.					
afirme__tigres	afirme	tigres	Tarjeta de Crédito Afirme Tigres	UNKNOWN	UNKNOWN	active	skeleton												Co-brand split from legacy issuer string 'Afirme (Tigres)'.					
bbva_mexico__rayados_bbva	bbva_mexico	rayados	Tarjeta Rayados BBVA	UNKNOWN	UNKNOWN	active	skeleton												Co-brand split from legacy issuer string 'BBVA México (Rayados)'.					
banco_inbursa__bodega_aurrera_inbursa	banco_inbursa	bodega_aurrera	Tarjeta Bodega Aurrera Inbursa	UNKNOWN	UNKNOWN	active	skeleton												Co-brand split from legacy issuer string 'Banco Inbursa (Bodega Aurrera)'.					
banco_inbursa__sams_club_inbursa	banco_inbursa	sams_club	Tarjeta Sam's Club Inbursa	UNKNOWN	UNKNOWN	active	skeleton												Co-brand split from legacy issuer string 'Banco Inbursa (Sam's Club)'.					
banco_inbursa__walmart_inbursa	banco_inbursa	walmart	Tarjeta Walmart Inbursa	UNKNOWN	UNKNOWN	active	skeleton												Co-brand split from legacy issuer string 'Banco Inbursa (Walmart)'.					
citibanamex__costco_banamex	citibanamex	costco	Tarjeta de Crédito Costco Banamex	UNKNOWN	UNKNOWN	active	skeleton												Co-brand split from legacy issuer string 'Citibanamex (Costco)'.					
citibanamex__affinity_card_banamex	citibanamex	inditex	Tarjeta de Crédito Affinity Card Banamex	UNKNOWN	UNKNOWN	active	skeleton												Co-brand split from legacy issuer string 'Citibanamex (Inditex)'.					
citibanamex__la_comer_card_banamex	citibanamex	la_comer	Tarjeta de Crédito La Comer Card Banamex	UNKNOWN	UNKNOWN	active	skeleton												Co-brand split from legacy issuer string 'Citibanamex (La Comer)'.					
citibanamex__lineup_banamex	citibanamex	lineup	Tarjeta de Crédito LineUp Banamex	UNKNOWN	UNKNOWN	active	skeleton												Co-brand split from legacy issuer string 'Citibanamex (LineUp)'.					
citibanamex__teleton_banamex	citibanamex	teleton	Tarjeta de Crédito Teletón Banamex	UNKNOWN	UNKNOWN	active	skeleton												Co-brand split from legacy issuer string 'Citibanamex (Teletón)'.					
citibanamex__the_home_depot_banamex	citibanamex	the_home_depot	Tarjeta de Crédito The Home Depot Banamex	UNKNOWN	UNKNOWN	active	skeleton												Co-brand split from legacy issuer string 'Citibanamex (The Home Depot)'.					
invex__farmacias_guadalajara	invex	farmacias_guadalajara	INVEX Farmacias Guadalajara	UNKNOWN	UNKNOWN	active	skeleton												Co-brand split from legacy issuer string 'Invex (Farmacias Guadalajara)'.					
invex__ikea	invex	ikea	IKEA INVEX	UNKNOWN	UNKNOWN	active	skeleton												Co-brand split from legacy issuer string 'Invex (IKEA)'.					
invex__manchester_united	invex	manchester_united	Manchester United INVEX	UNKNOWN	UNKNOWN	active	skeleton												Co-brand split from legacy issuer string 'Invex (Manchester United)'.					
invex__sams_club	invex	sams_club	Sam's Club INVEX	UNKNOWN	UNKNOWN	active	skeleton												Co-brand split from legacy issuer string 'Invex (Sam's Club)'.					
invex__walmart	invex	walmart	Walmart INVEX	UNKNOWN	UNKNOWN	active	skeleton												Co-brand split from legacy issuer string 'Invex (Walmart)'.					
klar__con_garantia	klar		Tarjeta de Crédito con Garantía Klar	UNKNOWN	UNKNOWN	active	skeleton																	
klar__tarjeta_de_credito_klar	klar		Tarjeta de Crédito Klar	sin anualidad	mastercard	active	mapped	0	UNKNOWN	UNKNOWN	123.1	187	cashback	UNKNOWN	1.0	UNKNOWN	UNKNOWN	FALSE	CAT/tasa from aggregator; classic tier	high	medium	medium	high	high
klar__platino	klar		Tarjeta de Crédito Klar Platino	platino	mastercard	active	mapped	0	UNKNOWN	UNKNOWN	61.1	85	cashback	UNKNOWN	1.0	UNKNOWN	UNKNOWN	FALSE	Lower tasa than classic; aggregator figures	high	medium	medium	high	high
stori__tarjeta_de_credito_stori	stori		Tarjeta de Crédito Stori	sin anualidad	mastercard	active	mapped	0	UNKNOWN	UNKNOWN	UNKNOWN	158.3	none	UNKNOWN	NOT_APPLICABLE	0	UNKNOWN	FALSE	CAT from aggregator	high	medium	medium	high	high
stori__black	stori		Tarjeta de Crédito Stori Black	cashback	mastercard	active	mapped	0	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	cashback	1.0	1.0	1.0	UNKNOWN	FALSE	1% cashback	high	medium	medium	high	high
stori__con_garantia	stori		Tarjeta de Crédito Stori con Garantía	UNKNOWN	UNKNOWN	active	skeleton																	
cuenca__tarjeta_de_credito_cuenca	cuenca		Tarjeta de Crédito Cuenca	UNKNOWN	UNKNOWN	active	skeleton																	
jp_sofiexpress__didi_card	jp_sofiexpress	didi	DiDi Card	sin anualidad / cashback	mastercard	active	mapped	0	UNKNOWN	UNKNOWN	85.27	130.4	cashback	2.0	1.0	2.0	UNKNOWN	FALSE	Regulated by PROFECO not CONDUSEF; cashback within DiDi ecosystem	high	medium	low	high	high
mercado_pago__tarjeta_de_credito_mercado_pago	mercado_pago		Tarjeta de crédito Mercado Pago	línea de crédito	mastercard	active	mapped	0	UNKNOWN	UNKNOWN	UNKNOWN	127.7	none	UNKNOWN	NOT_APPLICABLE	0	UNKNOWN	TRUE	Credit line, not classic plastic; CAT from aggregator citing MP; interest_rate is a published range not a single rate Issuer publishes a 15-120% range, not a single rate; a representative rate must be sourced before this card can be compared on cost.	high	medium	medium	high	high
nu_mx__tarjeta_de_credito_nu	nu_mx		Tarjeta de Crédito Nu	sin anualidad	mastercard	active	mapped	0	UNKNOWN	UNKNOWN	UNKNOWN	148.1	none	UNKNOWN	NOT_APPLICABLE	0	UNKNOWN	FALSE	Sofipo; no penalización por uso mínimo	high	medium	medium	high	high
stori__shein_x	stori	shein	Tarjeta de Crédito SHEIN x Stori	UNKNOWN	UNKNOWN	active	skeleton																	
american_express__gold_elite_credit_card	american_express		Gold Elite Credit Card American Express	UNKNOWN	amex	active	skeleton																	
american_express__the_gold_card	american_express		The Gold Card American Express	oro / premium	amex	active	mapped	8100	FALSE	UNKNOWN	UNKNOWN	UNKNOWN	points	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	FALSE	Fee = 450 USD + IVA (~8,100 MXN at ~18 MXN/USD) diferida en 3 meses, per Kardmatch; official site shows no static MXN figure. $3,000 MXN annual travel credit; Golden Cashbacks	high	medium	medium	high	high
american_express__the_green_card	american_express		The Green Card American Express	UNKNOWN	amex	active	skeleton																	
american_express__the_platinum_card	american_express		The Platinum Card American Express	UNKNOWN	amex	active	skeleton																	
american_express__the_platinum_credit_card	american_express		The Platinum Credit Card American Express	UNKNOWN	amex	active	skeleton																	
american_express__aeromexico	american_express	aeromexico	American Express Aeroméxico	UNKNOWN	amex	active	skeleton																	
american_express__the_gold_aeromexico	american_express	aeromexico	The Gold American Express Aeroméxico	UNKNOWN	amex	active	skeleton																	
american_express__the_platinum_card_aeromexico	american_express	aeromexico	The Platinum Card American Express Aeroméxico	UNKNOWN	amex	active	skeleton																	
banco_del_bajio__clasica_garantizada	banco_del_bajio		Tarjeta de Crédito Clásica Garantizada	UNKNOWN	UNKNOWN	active	skeleton																	
banco_del_bajio__exclusive_banbajio_infinite	banco_del_bajio		Tarjeta de Crédito Exclusive+ BanBajío Infinite	UNKNOWN	UNKNOWN	active	skeleton																	
